"title","rating","release year","release on Netflix"
"3%","TV-MA","2016","2016"
"90210","TV-14","2013","2013"
"├î├Æ Pai, ├î├Æ - Look at This","TV-MA","2007","2007"
"10 Things I Hate About You","PG-13","1999","2016"
"100 Metros","TV-MA","2016","2016"
"13 Reasons Why","TV-MA","2017","2017"
"30 Rock","TV-14","2012","2012"
"5 to 7","R","2014","2014"
"A Monster in Paris","PG","2011","2011"
"A Weekend with the Family","TV-MA","2016","2016"
"Absolutely Fabulous","TV-14","2012","2012"
"Abstract: The Art of Design","TV-14","2017","2017"
"Agent F.O.X.","PG","2014","2014"
"Air Bud: Spikes Back","G","2003","2003"
"Air Bud: World Pup","G","2000","2014"
"Air Buddies","PG","2006","2006"
"Alice Through the Looking Glass","PG","2016","2016"
"All Hail King Julien","TV-Y7-FV","2016","2016"
"Almost Adults","NR","2016","2016"
"Alpha and Omega: Dino Digs","TV-G","2016","2016"
"American Crime","TV-14","2016","2016"
"American Crime Story: The People v. O.J. Simpson","TV-MA","2016","2016"
"American Horror Story","TV-MA","2016","2016"
"American Odyssey","TV-14","2015","2015"
"Amy Schumer: The Leather Special","TV-MA","2017","2017"
"An American Tail","G","1986","2019"
"An American Tail: Fievel Goes West","G","1991","2017"
"An American Tail: The Mystery of the Night Monster","G","1999","2017"
"An Extremely Goofy Movie","G","1999","2018"
"Anastasia","G","1997","2017"
"Angry Birds","TV-G","2013","2013"
"Animaniacs","TV-Y7","1997","2016"
"Annie","PG","1982","2017"
"Antz","PG","1998","2018"
"Aquarius","TV-MA","2015","2015"
"Army Wives","TV-14","2013","2013"
"Arrow","TV-14","2015","2015"
"Ask the StoryBots","TV-Y","2016","2016"
"Atlantis: Milo's Return","G","2003","2003"
"Atlantis: The Lost Empire","PG","2001","2017"
"Axel: The Biggest Little Hero","PG","2013","2013"
"Babe: Pig in the City","G","1998","2017"
"Baby Daddy","TV-14","2016","2016"
"Baby's Day Out","PG","1994","2018"
"Back and Forth","NR","2016","2016"
"Back to the Secret Garden","G","2002","2002"
"Balto","G","1995","2017"
"Balto 2: Wolf Quest","G","2001","2017"
"Barbie Life in the Dreamhouse","TV-G","2012","2012"
"Batched","G","2000","2023"
"Bates Motel","TV-14","2016","2016"
"Beary Tales","TV-G","2013","2013"
"Bee Movie","PG","2007","2007"
"Being Human (U.S.)","TV-14","2014","2014"
"Being Mary Jane: The Series","TV-14","2016","2016"
"Better Call Saul","TV-MA","2016","2016"
"Better Off Single","TV-MA","2016","2016"
"Beverly Hills Chihuahua 3: Viva La Fiesta!","G","2012","2012"
"Beyblade: Metal Fusion","TV-Y7","2009","2009"
"Bitten","TV-MA","2016","2016"
"Black Mirror","TV-MA","2016","2016"
"Blank Check","PG","1994","2017"
"Blinky Bill: The Movie","PG","2015","2015"
"Bloodline","TV-MA","2016","2016"
"Blow","R","2001","2024"
"Blue Bloods","TV-14","2016","2016"
"Bob the Builder","TV-Y","2015","2015"
"BoJack Horseman","TV-MA","2016","2016"
"Bones","TV-14","2016","2016"
"Bordertown","TV-14","2016","2016"
"Bordertown","TV-MA","2016","2016"
"Boy Bye","TV-MA","2016","2016"
"Breaking Bad","TV-MA","2013","2013"
"Breakout Kings","TV-14","2012","2012"
"Brickleberry","TV-MA","2014","2014"
"Brother Bear 2","G","2006","2006"
"Buddy Thunderstruck","TV-PG","2017","2017"
"Bunk'd","TV-G","2016","2016"
"Bunks","TV-PG","2013","2013"
"Burn Notice","TV-14","2013","2013"
"Californication","TV-MA","2014","2014"
"Care Bears: Welcome to Care-a-Lot","TV-Y","2012","2012"
"Cars Toons: Mater's Tall Tales","TV-G","2010","2010"
"Cats & Dogs","PG","2001","2015"
"Charmed","TV-PG","2005","2005"
"Cheer Squad","TV-PG","2016","2016"
"Chef's Table","TV-MA","2017","2017"
"Chelsea","TV-MA","2017","2017"
"Chewing Gum","TV-MA","2017","2017"
"Chicken Little","G","2005","2005"
"Chicken Run","G","2000","2014"
"Chuggington","TV-Y","2015","2015"
"City of God: 10 Years Later","TV-MA","2013","2013"
"Clifford the Big Red Dog","TV-Y","2002","2002"
"Clifford's Puppy Days","TV-Y","2003","2003"
"Come Fly With Me","TV-14","2010","2010"
"Cool Runnings","PG","1993","2024"
"Cooper Barrett's Guide to Surviving Life","TV-14","2016","2016"
"Coraline","PG","2009","2009"
"Corpse Bride","PG","2005","2005"
"Crazy Ex-Girlfriend","TV-14","2017","2017"
"Crazyhead","TV-MA","2016","2016"
"Criminal Minds","TV-14","2016","2016"
"Crossing Lines","TV-14","2015","2015"
"Curious George","G","2006","2006"
"D2: The Mighty Ducks","PG","1994","2016"
"Dave Chappelle","TV-MA","2017","2017"
"Dawn of the Croods","TV-Y7","2017","2017"
"Death in Paradise","TV-14","2016","2016"
"Death Note","TV-14","2006","2006"
"Deidra & Laney Rob a Train","TV-14","2017","2017"
"Delhi Safari","PG","2012","2012"
"Dexter","TV-MA","2013","2013"
"Dino Squad","TV-Y7","2008","2008"
"Dinosaur King","TV-Y7-FV","2008","2008"
"Dinotrux","TV-Y7-FV","2017","2017"
"Disney Animation Collection: Vol. 1: Mickey and the Beanstalk","TV-G","2009","2009"
"Disney Animation Collection: Vol. 2: Three Little Pigs","TV-G","2009","2009"
"Disney Animation Collection: Vol. 4: The Tortoise and the Hare","TV-G","2009","2009"
"Documentary Now!","TV-14","2016","2016"
"Dolphin Tale","PG","2011","2011"
"Don't Trust the B---- in Apartment 23","TV-14","2012","2012"
"Dope","R","2015","2015"
"Dr. Dolittle: Tail to the Chief","PG","2008","2008"
"Dragons: Race to the Edge","TV-Y7-FV","2017","2017"
"DreamWorks How to Train Your Dragon Legends","TV-PG","2011","2011"
"DreamWorks Kung Fu Panda Awesome Secrets","TV-PG","2008","2008"
"DreamWorks Shrek's Swamp Stories","TV-PG","2008","2008"
"DreamWorks Spooky Stories: Volume 2","TV-PG","2011","2011"
"Drop Dead Diva","TV-PG","2014","2014"
"Drugs, Inc.","TV-14","2015","2015"
"Easy","TV-MA","2016","2016"
"Edgar Rice Burroughs' Tarzan and Jane","TV-Y7-FV","2017","2017"
"Ernest & Celestine","PG","2012","2012"
"Family Guy","TV-MA","2015","2015"
"Fantasia","G","1940","2015"
"Fantasia 2000","G","2000","2015"
"Fearless","TV-14","2016","2016"
"Felipe Neto: My Life Makes No Sense","TV-MA","2017","2017"
"FernGully 2: The Magical Rescue","G","1998","2018"
"FernGully: The Last Rainforest","G","1992","2022"
"Finding Dory","PG","2016","2016"
"Flaked","TV-MA","2016","2016"
"Flicka 2","PG","2010","2010"
"Flubber","PG","1997","2015"
"Forensic Files","TV-14","2011","2011"
"Friday Night Lights","TV-PG","2010","2010"
"Fried","TV-MA","2015","2015"
"Friends","TV-14","2003","2003"
"Friends with Benefits","TV-14","2011","2011"
"Fuller House","TV-G","2016","2016"
"Gabriel lglesias: IΓÇ░├¢┬¬m Sorry For What I Said When I Was Hungry","TV-14","2016","2016"
"Gilmore Girls","TV-14","2006","2006"
"Gilmore Girls: A Year in the Life","TV-14","2016","2016"
"Girlboss","TV-MA","2017","2017"
"Girlfriends' Guide to Divorce","TV-14","2015","2015"
"Glee","TV-PG","2015","2015"
"Goldie & Bear","TV-Y","2016","2016"
"Gon","TV-G","2013","2013"
"Goosebumps","TV-Y7","1998","2016"
"Goosebumps","PG","2015","2015"
"Gossip Girl","TV-14","2012","2012"
"Gotham","TV-14","2016","2016"
"Grace and Frankie","TV-MA","2017","2017"
"Grease","PG","1978","2023"
"Greenleaf","TV-14","2016","2016"
"Grey's Anatomy","TV-14","2016","2016"
"Growing Up Wild","G","2016","2016"
"H2O: Just Add Water","TV-PG","2009","2009"
"Halt and Catch Fire","TV-14","2016","2016"
"Hannah Montana: The Movie","G","2009","2009"
"Hap and Leonard","TV-MA","2016","2016"
"Happily Married","TV-14","2015","2015"
"Harry and the Hendersons","PG","1987","2016"
"Hart of Dixie","TV-PG","2014","2014"
"Hatched","TV-Y7","2013","2013"
"Haters Back Off","TV-14","2016","2016"
"Hawaii Five-0","TV-14","2016","2016"
"Heartland","TV-PG","2015","2015"
"Heavyweights","PG","1995","2016"
"High School Musical","TV-G","2006","2006"
"High School Musical 2","TV-G","2007","2007"
"Home","PG","2015","2015"
"Home: Adventures with Tip & Oh","TV-Y7","2017","2017"
"Homeward Bound: The Incredible Journey","G","1993","2015"
"Honey, I Shrunk the Kids","PG","1989","2013"
"Honeytrap","NR","2014","2014"
"Hot Girls Wanted: Turned On","TV-MA","2017","2017"
"Hotel Transylvania 2","PG","2015","2015"
"House of Cards","TV-MA","2016","2016"
"How I Met Your Mother","TV-PG","2014","2014"
"How to Get Away with Murder","TV-14","2016","2016"
"How to Lose a Guy in 10 Days","PG-13","2003","2003"
"Hunter X Hunter (2011)","NR","2013","2013"
"Hurricane Bianca","TV-MA","2016","2016"
"Hyena Road","R","2015","2015"
"I.T","NR","2016","2016"
"Ingobernable","TV-MA","2017","2017"
"Inside Russia's Toughest Prison","TV-14","2011","2011"
"Inspector Gadget 2","G","2003","2003"
"Iron Man & Captain America: Heroes United","PG","2014","2014"
"It's Always Sunny in Philadelphia","TV-MA","2016","2016"
"Jack and the Cuckoo-Clock Heart","PG","2013","2013"
"Jane The Virgin","TV-14","2016","2016"
"Jessie","TV-G","2015","2015"
"Jetsons: The Movie","G","1990","2016"
"Justice League","TV-Y7-FV","2003","2003"
"Justice League Unlimited","TV-Y7-FV","2005","2005"
"Kevin Hart: What Now?","R","2016","2016"
"Kong: King of the Apes","TV-Y7-FV","2016","2016"
"Kronk's New Groove","G","2005","2005"
