year,rating,percentage_by_rating
2002,G,0.132864086882864
2003,G,0.058611531117223
2004,G,0.0358887942141112
2005,G,0.1620841146758317
2006,G,0.0206364684793635
2007,G,0.0
2008,G,0.0
2009,G,0.1122104451735038
2010,G,0.0
2011,G,0.0109130600892849
2012,G,0.0079925962999999
2013,G,0.0271534696363636
2014,G,0.0043080799956919
2015,G,0.0484158651484158
2016,G,0.0028551149999999
2017,G,0.0386768168363231
2002,NR,0.0
2003,NR,0.0
2004,NR,0.0
2005,NR,0.0
2006,NR,0.0
2007,NR,0.0
2008,NR,0.0
2009,NR,0.0
2010,NR,0.0
2011,NR,0.0
2012,NR,0.0
2013,NR,0.0451664716363636
2014,NR,0.0228282689771717
2015,NR,0.0
2016,NR,0.0193823979999999
2017,NR,0.0
2002,PG,0.2896902260396902
2003,PG,0.2156551504313102
2004,PG,0.1958237980541761
2005,PG,0.3220644363558711
2006,PG,0.1819266003180734
2007,PG,0.3207166372792833
2008,PG,0.20675543075
2009,PG,0.2760160690096982
2010,PG,0.2733978965837449
2011,PG,0.1726844347657422
2012,PG,0.1708694392999999
2013,PG,0.1853595286363636
2014,PG,0.1591395068408605
2015,PG,0.1988511472988511
2016,PG,0.1499069039999999
2017,PG,0.1796982296953017
2002,PG-13,0.0
2003,PG-13,0.4609924989219849
2004,PG-13,0.4394126728105872
2005,PG-13,0.0
2006,PG-13,0.4340460120659539
2007,PG-13,0.0
2008,PG-13,0.46197003675
2009,PG-13,0.0
2010,PG-13,0.0
2011,PG-13,0.4338273512434564
2012,PG-13,0.4299049772999999
2013,PG-13,0.4427597836363636
2014,PG-13,0.4149404895850594
2015,PG-13,0.0
2016,PG-13,0.3892162009999999
2017,PG-13,0.3986034304763965
2002,R,0.4336916901836917
2003,R,0.0
2004,R,0.3288747349211252
2005,R,0.0
2006,R,0.3090431751909568
2007,R,0.0
2008,R,0.0
2009,R,0.0
2010,R,0.0
2011,R,0.2753848845603414
2012,R,0.2643463563
2013,R,0.0
2014,R,0.2413465827586534
2015,R,0.2735104623735104
2016,R,0.2204346649999999
2017,R,0.0
2002,TV-14,0.0
2003,TV-14,0.0610771471221542
2004,TV-14,0.0
2005,TV-14,0.1679492906641014
2006,TV-14,0.0276958044723041
2007,TV-14,0.0
2008,TV-14,0.04966915275
2009,TV-14,0.0
2010,TV-14,0.1197246797374181
2011,TV-14,0.0219546720672017
2012,TV-14,0.0221413992999999
2013,TV-14,0.0453476606363636
2014,TV-14,0.0291048849708951
2015,TV-14,0.0789131431789131
2016,TV-14,0.0430325779999999
2017,TV-14,0.0908995437841004
2002,TV-G,0.0
2003,TV-G,0.0640694411281388
2004,TV-G,0.0
2005,TV-G,0.0
2006,TV-G,0.026651939473348
2007,TV-G,0.1657607944342391
2008,TV-G,0.05138532075
2009,TV-G,0.1193721491663421
2010,TV-G,0.1178545777392882
2011,TV-G,0.0187424810736261
2012,TV-G,0.0151894002999999
2013,TV-G,0.0339381386363636
2014,TV-G,0.0118927469881072
2015,TV-G,0.054882078154882
2016,TV-G,0.0123054379999999
2017,TV-G,0.0
2002,TV-MA,0.0
2003,TV-MA,0.0
2004,TV-MA,0.0
2005,TV-MA,0.0
2006,TV-MA,0.0
2007,TV-MA,0.168396953431603
2008,TV-MA,0.0
2009,TV-MA,0.121535188164179
2010,TV-MA,0.1219769787351658
2011,TV-MA,0.0
2012,TV-MA,0.0301769152999999
2013,TV-MA,0.0590880796363636
2014,TV-MA,0.0412083899587916
2015,TV-MA,0.0971643341971643
2016,TV-MA,0.0657454789999999
2017,TV-MA,0.12010998975489
2002,TV-PG,0.0
2003,TV-PG,0.0
2004,TV-PG,0.0
2005,TV-PG,0.1732127396535745
2006,TV-PG,0.0
2007,TV-PG,0.0
2008,TV-PG,0.05526703575
2009,TV-PG,0.1219833811637308
2010,TV-PG,0.1203441247367987
2011,TV-PG,0.02042550907026
2012,TV-PG,0.0183929392999999
2013,TV-PG,0.0421119746363636
2014,TV-PG,0.0210674439789325
2015,TV-PG,0.0657434171657434
2016,TV-PG,0.0234874599999999
2017,TV-PG,0.0625665878124334
2002,TV-Y,0.1437539968937539
2003,TV-Y,0.0669006221338012
2004,TV-Y,0.0
2005,TV-Y,0.0
2006,TV-Y,0.0
2007,TV-Y,0.170770968429229
2008,TV-Y,0.05607955975
2009,TV-Y,0.1223419511633723
2010,TV-Y,0.1221830607349598
2011,TV-Y,0.0217237850676635
2012,TV-Y,0.0204384492999999
2013,TV-Y,0.0389911396363636
2014,TV-Y,0.0173601379826398
2015,TV-Y,0.0602745711602745
2016,TV-Y,0.0168784399999999
2017,TV-Y,0.0
2002,TV-Y7,0.0
2003,TV-Y7,0.0
2004,TV-Y7,0.0
2005,TV-Y7,0.0
2006,TV-Y7,0.0
2007,TV-Y7,0.1743546464256453
2008,TV-Y7,0.05886345975
2009,TV-Y7,0.1265408161591734
2010,TV-Y7,0.0
2011,TV-Y7,0.0
2012,TV-Y7,0.0205475272999999
2013,TV-Y7,0.0389239466363636
2014,TV-Y7,0.0191247879808752
2015,TV-Y7,0.0619995991619996
2016,TV-Y7,0.0196383319999999
2017,TV-Y7,0.0556337598193662
2002,TV-Y7-FV,0.0
2003,TV-Y7-FV,0.0726936091453872
2004,TV-Y7-FV,0.0
2005,TV-Y7-FV,0.1746894186506211
2006,TV-Y7-FV,0.0
2007,TV-Y7-FV,0.0
2008,TV-Y7-FV,0.06001000375
2009,TV-Y7-FV,0.0
2010,TV-Y7-FV,0.1245186817326241
2011,TV-Y7-FV,0.0243438220624234
2012,TV-Y7-FV,0.0
2013,TV-Y7-FV,0.0411598066363636
2014,TV-Y7-FV,0.0176786799823213
2015,TV-Y7-FV,0.0602453821602453
2016,TV-Y7-FV,0.0177832259999999
2017,TV-Y7-FV,0.0538116418211883
2002,UR,0.0
2003,UR,0.0
2004,UR,0.0
2005,UR,0.0
2006,UR,0.0
2007,UR,0.0
2008,UR,0.0
2009,UR,0.0
2010,UR,0.0
2011,UR,0.0
2012,UR,0.0
2013,UR,0.0
2014,UR,0.0
2015,UR,0.0
2016,UR,0.0193337639999999
2017,UR,0.0
